manufactor,Year,Hand,Gear,capacity_Engine,Engine_type,Prev_ownership,Curr_ownership,Price,Km,model,Supply_score
יונדאי,2015,2,אוטומטית,1600.0,בנזין,פרטית,פרטית,51000.0,144000.0,I35,6829
ניסאן,2018,1,אוטומטית,1200.0,בנזין,חדש,פרטית,49000.0,69000.0,MICRA,4933
סוזוקי,2010,1,אוטומטית,1450.0,בנזין,חדש,פרטית,22500.0,145000.0,SWIFT,1901
טויוטה,2016,1,טיפטרוניק,1600.0,בנזין,חדש,פרטית,63000.0,27300.0,AURIS,343
קיה,2012,1,אוטומטית,1248.0,בנזין,חדש,פרטית,37000.0,70000.0,PICANTO,3780
אאודי,2015,3,אוטומטית,1400.0,בנזין,פרטית,פרטית,60000.0,120000.0,A1,398
סובארו,2009,3,ידנית,2400.0,בנזין,פרטית,פרטית,95000.0,125000.0,IMPREZA,0
מיצובישי,2018,1,אוטומטית,2000.0,בנזין,חדש,פרטית,90000.0,102000.0,ASX,2889
מרצדס,2015,1,אוטומטית,2200.0,דיזל,חדש,חברה,70000.0,95000.0,220,0
אופל,2017,2,אוטומטית,1400.0,בנזין,פרטית,פרטית,65000.0,118000.0,MOKKA,278
קיה,2013,4,אוטומטית,1500.0,בנזין,פרטית,פרטית,22000.0,199000.0,FORTE,2547
סוזוקי,2008,3,אוטומטית,1500.0,בנזין,פרטית,פרטית,19500.0,178500.0,SWIFT,5194
אאודי,2014,4,אוטומטית,2000.0,בנזין,פרטית,פרטית,77500.0,169000.0,Q3,344
קיה,2015,2,אוטומטית,1200.0,בנזין,פרטית,פרטית,45000.0,96000.0,PICANTO,11640
הונדה,2007,3,אוטומטית,1800.0,בנזין,פרטית,פרטית,23000.0,170000.0,CIVIC,3354
סוזוקי,2016,2,אוטומטית,1600.0,בנזין,ליסינג,פרטית,58000.0,77000.0,SX4 CROSSOVER,4304
טויוטה,2015,2,אוטומטית,1600.0,בנזין,פרטית,פרטית,62000.0,130000.0,COROLLA,11110
פולקסווגן,2008,3,אוטומטית,1595.0,בנזין,פרטית,פרטית,21000.0,149000.0,GOLF,1882
פולקסווגן,2007,3,אוטומטית,2000.0,בנזין,פרטית,פרטית,20000.0,170000.0,PASSAT,690
שברולט,2017,1,אוטומטית,1400.0,בנזין,חדש,פרטית,50000.0,68000.0,SPARK,3190
מאזדה,2015,4,אוטומטית,1500.0,בנזין,פרטית,פרטית,43000.0,152000.0,MAZDA 3,6820
טויוטה,2014,3,אוטומטית,1600.0,בנזין,פרטית,פרטית,46000.0,190000.0,COROLLA,12436
ניסאן,2013,5,אוטומטית,1100.0,בנזין,פרטית,פרטית,23900.0,150000.0,NOTE,300
קיה,2011,2,טיפטרוניק,1600.0,דיזל,פרטית,פרטית,32000.0,182000.0,SOUL,553
קיה,2013,4,ידנית,1000.0,בנזין,פרטית,פרטית,23000.0,76000.0,PICANTO,7162
וולוו,2014,4,אוטומטית,1600.0,בנזין,פרטית,פרטית,46000.0,105000.0,V40 CC,0
מיצובישי,2020,2,אוטומטית,4200.0,גז,פרטית,פרטית,35000.0,90000.0,LANCER SPORTBAC,0
יונדאי,2018,1,אוטומטית,1250.0,בנזין,חדש,פרטית,60000.0,40000.0,I10,7388
אאודי,2007,2,אוטומטית,2000.0,בנזין,פרטית,פרטית,21000.0,150000.0,A3,66
אאודי,2016,2,אוטומטית,1000.0,בנזין,ליסינג,פרטית,55000.0,135000.0,A1,720
סקודה,2012,1,אוטומטית,1197.0,בנזין,חדש,פרטית,24500.0,147000.0,FABIA,2565
סקודה,2017,3,אוטומטית,1800.0,בנזין,פרטית,פרטית,83000.0,144000.0,OCTAVIA,4685
הונדה,2015,1,אוטומטית,1800.0,בנזין,חדש,פרטית,60000.0,44000.0,CIVIC,2221
מאזדה,2014,3,טיפטרוניק,1500.0,בנזין,ליסינג,פרטית,45000.0,144500.0,MAZDA 3,6896
אאודי,2016,2,אוטומטית,1400.0,בנזין,פרטית,פרטית,93000.0,110000.0,A3,814
הונדה,2011,4,אוטומטית,1800.0,בנזין,פרטית,פרטית,30000.0,147445.0,CIVIC,2656
יונדאי,2020,1,אוטומטית,1600.0,היברידי,חדש,פרטית,95000.0,90000.0,IONIQ HYBRID,9419
יונדאי,2016,5,אוטומטית,2000.0,היברידי,פרטית,פרטית,70000.0,100000.0,SONATA,0
יונדאי,2014,3,אוטומטית,1500.0,בנזין,פרטית,פרטית,26000.0,216000.0,I30,4555
טויוטה,2017,1,אוטומטית,1197.0,בנזין,חדש,פרטית,95000.0,79000.0,C-HR,533
סקודה,2018,2,אוטומטית,2000.0,דיזל,מונית,פרטית,50000.0,155000.0,OCTAVIA,5241
שברולט,2018,2,אוטומטית,1500.0,בנזין,פרטית,פרטית,74000.0,63000.0,MALIBU,146
קיה,2016,2,אוטומטית,1396.0,בנזין,פרטית,פרטית,35000.0,162127.0,RIO,1840
פורד,2013,4,אוטומטית,1600.0,בנזין,פרטית,פרטית,19000.0,220000.0,FOCUS,6181
קיה,2014,2,אוטומטית,1600.0,בנזין,ליסינג,ליסינג,34000.0,141600.0,FORTE,3045
סקודה,2014,3,אוטומטית,1200.0,בנזין,פרטית,פרטית,42000.0,161000.0,OCTAVIA,5586
ב.מ.וו,2015,2,אוטומטית,1998.0,בנזין,פרטית,פרטית,78000.0,111000.0,X1,0
שברולט,2014,1,אוטומטית,2400.0,בנזין,חדש,פרטית,38000.0,120000.0,AVEO,0
הונדה,2007,2,אוטומטית,1800.0,בנזין,פרטית,פרטית,19000.0,152000.0,CIVIC,3354
סקודה,2015,2,אוטומטית,1400.0,בנזין,פרטית,פרטית,40000.0,140000.0,RAPID,2374
קיה,2015,4,אוטומטית,1248.0,בנזין,פרטית,פרטית,39290.0,102550.0,PICANTO,11640
מאזדה,2013,3,אוטומטית,1500.0,בנזין,פרטית,פרטית,40000.0,144000.0,MAZDA 3,736
סקודה,2017,1,אוטומטית,1400.0,בנזין,חדש,פרטית,78000.0,160000.0,OCTAVIA,4685
הונדה,2009,3,אוטומטית,1800.0,בנזין,פרטית,פרטית,25000.0,137000.0,CIVIC,3444
סקודה,2018,1,אוטומטית,1400.0,בנזין,חדש,פרטית,83000.0,110000.0,OCTAVIA,5241
אאודי,2014,1,אוטומטית,2800.0,בנזין,חדש,פרטית,55000.0,100000.0,S7,5
טויוטה,2014,1,אוטומטית,1600.0,בנזין,חדש,פרטית,52000.0,160000.0,COROLLA,12436
